iter	Passed	Remaining
809	39997	9382
810	40033	9329
811	40073	9278
812	40109	9225
813	40147	9173
814	40186	9122
815	40246	9075
816	40299	9026
817	40354	8978
818	40406	8929
819	40450	8879
820	40501	8830
821	40550	8781
822	40600	8731
823	40648	8682
824	40700	8633
825	40785	8591
826	40847	8544
827	40917	8499
828	40988	8454
829	41070	8412
830	41176	8374
831	41285	8336
832	41386	8297
833	41481	8256
834	41574	8215
835	41682	8176
836	41761	8132
837	41835	8087
838	41907	8041
839	41983	7996
840	42064	7952
841	42147	7908
842	42229	7864
843	42329	7823
844	42413	7779
845	42501	7736
846	42578	7691
847	42647	7644
848	42713	7596
849	42794	7551
850	42862	7504
851	42936	7458
852	43001	7410
853	43071	7363
854	43144	7316
855	43228	7272
856	43277	7221
857	43320	7169
858	43368	7118
859	43405	7066
860	43451	7014
861	43499	6963
862	43546	6912
863	43593	6861
864	43633	6809
865	43668	6757
866	43703	6704
867	43738	6651
868	43772	6598
869	43809	6546
870	43848	6494
871	43885	6441
872	43918	6389
873	43952	6336
874	43986	6283
875	44018	6230
876	44050	6178
877	44082	6125
878	44113	6072
879	44147	6020
880	44183	5968
881	44229	5917
882	44290	5868
883	44367	5821
884	44435	5774
885	44496	5725
886	44553	5675
887	44605	5625
888	44649	5574
889	44688	5523
890	44736	5472
891	44784	5422
892	44828	5371
893	44869	5320
894	44913	5269
895	44960	5218
896	45002	5167
897	45049	5116
898	45093	5066
899	45138	5015
900	45182	4964
901	45232	4914
902	45272	4863
903	45305	4811
904	45338	4759
905	45378	4708
906	45413	4656
907	45447	4604
908	45478	4552
909	45517	4501
910	45551	4450
911	45594	4399
912	45633	4348
913	45665	4296
914	45703	4245
915	45734	4193
916	45768	4142
917	45800	4091
918	45840	4040
919	45877	3989
920	45914	3938
921	45946	3887
922	45978	3835
923	46009	3784
924	46044	3733
925	46078	3682
926	46116	3631
927	46150	3580
928	46183	3529
929	46219	3478
930	46255	3428
931	46295	3377
932	46327	3326
933	46361	3276
934	46396	3225
935	46430	3174
936	46464	3124
937	46497	3073
938	46531	3022
939	46564	2972
940	46597	2921
941	46631	2871
942	46663	2820
943	46700	2770
944	46733	2719
945	46767	2669
946	46802	2619
947	46836	2569
948	46868	2518
949	46901	2468
950	46934	2418
951	46967	2368
952	47000	2317
953	47041	2268
954	47085	2218
955	47124	2168
956	47164	2119
957	47207	2069
958	47268	2020
959	47350	1972
960	47437	1925
961	47496	1876
962	47560	1827
963	47620	1778
964	47665	1728
965	47707	1679
966	47748	1629
967	47789	1579
968	47832	1530
969	47876	1480
970	47922	1431
971	47982	1382
972	48033	1332
973	48107	1284
974	48160	1234
975	48232	1186
976	48296	1136
977	48344	1087
978	48390	1037
979	48440	988
980	48488	939
981	48532	889
982	48579	840
983	48627	790
984	48675	741
985	48726	691
986	48774	642
987	48821	592
988	48880	543
989	48930	494
990	48995	444
991	49040	395
992	49083	346
993	49129	296
994	49188	247
995	49243	197
996	49286	148
997	49324	98
998	49362	49
999	49407	0
